Community,Isolate1,Isolate2,Isolate1InitialODFreq,Isolate2InitialODFreq,Time,Isolate1MeasuredFreq,ErrorIsolate1MeasuredFreq,Contamination
RanAss1,1,2,0.05,0.95,T3,0.0801828565653811,,FALSE
RanAss1,1,2,0.95,0.05,T3,0.0478831740090172,,FALSE
RanAss1,1,3,0.05,0.95,T3,0.0780528504878444,,FALSE
RanAss1,1,3,0.95,0.05,T3,0.0304820105582401,,FALSE
RanAss1,1,4,0.05,0.95,T3,0.463119603384482,,FALSE
RanAss1,1,4,0.95,0.05,T3,0.473973984494958,,FALSE
RanAss1,1,6,0.05,0.95,T3,0.330833386775748,,FALSE
RanAss1,1,6,0.95,0.05,T3,0.0711272399998554,,FALSE
RanAss1,1,7,0.05,0.95,T3,0.72763218072499,,FALSE
RanAss1,1,7,0.95,0.05,T3,0.734616101846512,,FALSE
RanAss1,1,8,0.05,0.95,T3,0.930088166191056,,FALSE
RanAss1,1,8,0.95,0.05,T3,0.881820987276635,,FALSE
RanAss1,2,3,0.05,0.95,T3,0.0959531116681094,,FALSE
RanAss1,2,3,0.95,0.05,T3,0.203911168543315,,FALSE
RanAss1,2,4,0.05,0.95,T3,0.882987157194127,,FALSE
RanAss1,2,4,0.95,0.05,T3,0.98996563490799,,FALSE
RanAss1,2,6,0.05,0.95,T3,0.0312651956154696,,FALSE
RanAss1,2,6,0.95,0.05,T3,0.832662652619487,,FALSE
RanAss1,2,7,0.05,0.95,T3,0.969219742844035,,FALSE
RanAss1,2,7,0.95,0.05,T3,0.900805335504845,,FALSE
RanAss1,2,8,0.05,0.95,T3,0.973381358228916,,FALSE
RanAss1,2,8,0.95,0.05,T3,0.965665303196831,,FALSE
RanAss1,3,4,0.05,0.95,T3,0.895494341725195,,FALSE
RanAss1,3,4,0.95,0.05,T3,0.948761744457656,,FALSE
RanAss1,3,6,0.05,0.95,T3,0.123697643312802,,FALSE
RanAss1,3,6,0.95,0.05,T3,0.936848059615851,,FALSE
RanAss1,3,7,0.05,0.95,T3,0.938991173681823,,FALSE
RanAss1,3,7,0.95,0.05,T3,0.968887019409068,,FALSE
RanAss1,3,8,0.05,0.95,T3,0.990970201189241,,FALSE
RanAss1,3,8,0.95,0.05,T3,0.988464796101682,,FALSE
RanAss1,4,6,0.05,0.95,T3,0.098235585238265,,FALSE
RanAss1,4,6,0.95,0.05,T3,0.072499794562623,,FALSE
RanAss1,4,7,0.05,0.95,T3,0.771268510477626,,FALSE
RanAss1,4,7,0.95,0.05,T3,0.756063448059719,,FALSE
RanAss1,4,8,0.05,0.95,T3,0.815518725564861,,FALSE
RanAss1,4,8,0.95,0.05,T3,0.941774524206549,,FALSE
RanAss1,6,7,0.05,0.95,T3,0.982532878381646,,FALSE
RanAss1,6,7,0.95,0.05,T3,0.988347477179169,,FALSE
RanAss1,6,8,0.05,0.95,T3,0.965378067596768,,FALSE
RanAss1,6,8,0.95,0.05,T3,0.985806250347636,,FALSE
RanAss1,7,8,0.05,0.95,T3,0.590558457882248,,FALSE
RanAss1,7,8,0.95,0.05,T3,0.76376696506705,,FALSE
