Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Experiment,PlateLayout,Well,Plate
C11R2,7,3,95,5,Transitivity_C2,13A,G03,P2
C11R2,12,3,95,5,Transitivity_C2,13B,D03,P2
C11R2,12,7,95,5,Transitivity_C2,13B,D07,P2
C11R2,11,6,95,5,Transitivity_C2,13B,C06,P2
C11R2,8,2,95,5,Transitivity_C2,13A,H02,P2
C11R5,3,1,95,5,Transitivity_D,75,C08,P2
C11R5,4,2,95,5,Transitivity_D,75,D09,P2
C1R4,4,2,95,5,Transitivity_D,5543,D02,P2
C1R4,5,2,95,5,Transitivity_D,5543,E02,P2
C1R4,5,4,95,5,Transitivity_D,5543,E04,P2
C1R6,5,2,95,5,Transitivity_D,5543,E08,P2
C1R6,2,1,95,5,Transitivity_D,5543,B07,P2
C4R1,3,1,95,5,Transitivity_D,5543,H09,P2
C7R1,4,3,95,5,Transitivity_B2,444,H11,P2
C11R2,3,7,50,50,Transitivity_C2,13A,C07,P1
C11R2,3,12,50,50,Transitivity_C2,13A,C12,P1
C11R2,7,12,50,50,Transitivity_C2,13A,G12,P1
C11R2,6,11,50,50,Transitivity_C2,13A,F11,P1
C11R2,2,8,50,50,Transitivity_C2,13A,B08,P1
C11R5,1,3,50,50,Transitivity_D,75,A10,P1
C11R5,2,4,50,50,Transitivity_D,75,B11,P1
C1R4,2,4,50,50,Transitivity_D,5543,B04,P1
C1R4,2,5,50,50,Transitivity_D,5543,B05,P1
C1R4,4,5,50,50,Transitivity_D,5543,D05,P1
C1R6,2,5,50,50,Transitivity_D,5543,B11,P1
C1R6,1,2,50,50,Transitivity_D,5543,A08,P1
C4R1,1,3,50,50,Transitivity_D,5543,F11,P1
C7R1,3,4,50,50,Transitivity_B2,444,G12,P1
C11R2,3,7,95,5,Transitivity_C2,13A,C07,P2
C11R2,3,12,95,5,Transitivity_C2,13A,C12,P2
C11R2,7,12,95,5,Transitivity_C2,13A,G12,P2
C11R2,6,11,95,5,Transitivity_C2,13A,F11,P2
C11R2,2,8,95,5,Transitivity_C2,13A,B08,P2
C11R5,1,3,95,5,Transitivity_D,75,A10,P2
C11R5,2,4,95,5,Transitivity_D,75,B11,P2
C1R4,2,4,95,5,Transitivity_D,5543,B04,P2
C1R4,2,5,95,5,Transitivity_D,5543,B05,P2
C1R4,4,5,95,5,Transitivity_D,5543,D05,P2
C1R6,2,5,95,5,Transitivity_D,5543,B11,P2
C1R6,1,2,95,5,Transitivity_D,5543,A08,P2
C4R1,1,3,95,5,Transitivity_D,5543,F11,P2
C7R1,3,4,95,5,Transitivity_B2,444,G12,P2
