Community,Isolate1,Isolate2,Family1,Family2,Genus1,Genus2,Fermenter1,Fermenter2
C1R2,2,4,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
C1R6,3,4,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FALSE,TRUE
C1R7,1,7,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
C1R7,3,5,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
C1R7,3,6,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter,TRUE,TRUE
C2R6,2,3,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Citrobacter,TRUE,TRUE
C2R6,2,4,Enterobacteriaceae,,Raoultella,,TRUE,
C8R4,2,3,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
C11R1,1,7,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
C11R1,1,8,Pseudomonadaceae,Alcaligenaceae,Pseudomonas,Achromobacter,FALSE,FALSE
C11R1,1,9,Pseudomonadaceae,Comamonadaceae,Pseudomonas,Delftia,FALSE,FALSE
C11R1,2,4,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Pantoea,FALSE,TRUE
C11R1,3,4,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Pantoea,FALSE,TRUE
C11R1,3,8,Moraxellaceae,Alcaligenaceae,Acinetobacter,Achromobacter,FALSE,FALSE
C11R1,4,8,Enterobacteriaceae,Alcaligenaceae,Pantoea,Achromobacter,TRUE,FALSE
C11R1,5,6,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
C11R1,6,7,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Raoultella,TRUE,TRUE
C11R2,1,2,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter,TRUE,FALSE
C11R2,1,6,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter,TRUE,TRUE
C11R2,1,8,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter,TRUE,FALSE
C11R2,2,5,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Salmonella,FALSE,TRUE
C11R2,2,7,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FALSE,TRUE
C11R2,2,12,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FALSE,TRUE
C11R2,5,7,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter,TRUE,TRUE
C11R2,5,12,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter,TRUE,TRUE
C11R2,9,10,Xanthomonadaceae,Pseudomonadaceae,Stenotrophomonas,Pseudomonas,FALSE,FALSE
